ZIP,MHI,Minority,popdensity,EVs.per.1k.People,Public transportation,area_status
07748,152981,0.16812768483917162,2202.5384615384614,27.31,0.07597664395940498,Gap
07750,150188,0.11506080449017775,3077.735124760077,48.96,0.08348567946374162,NA
07751,181205,0.39556587237671137,1268.645952280786,71.34,0.0878861930528888,Gap
07753,95712,0.4685363434056359,2337.490599147656,18.18,0.01544653540737518,Gap
07755,134338,0.23320862283983612,1913.087934560327,103.51,0.009458948164964056,Non-Gap
07756,89286,0.06985769728331181,8289.544235924934,22.64,0.070892978868439,Non-Gap
07757,126094,0.08393866020984664,2173.684210526316,36.32,0.08887256702166728,NA
07758,115298,0.21933267909715404,2547.5,26.25,0.08918784255107125,NA
07760,226635,0.07903425505571604,1144.6793433329397,63.97,0.1293736501079914,NA
07762,116295,0.07734204793028321,2928.748670684154,28.32,0.04747626186906546,NA
07764,114271,0.20172373631493123,3006.3025210084033,59.75,0.01656472986748216,Gap
07801,84517,0.717856089649071,2094.5027794935145,11.1,0.01415001637733377,Gap
07803,119583,0.5081521739130435,1378.7465940054497,14.08,0.01525423728813559,NA
07820,NA,NA,0,NA,NA,Gap
07821,141860,0.13268474435934585,225.84792314345154,23.6,0.00209723546234509,NA
07822,114545,0.21039903264812576,112.08999728923827,30.23,0,Gap
07823,85522,0.083747148033821,297.14855433698904,8.32,0.01620879120879121,NA
07825,123785,0.13094462540716612,108.43969293081524,17.48,6.509004122369278e-4,NA
07826,116598,0.13943355119825707,102.43952685883019,12.07,0,NA
07827,101444,0.13531272815770257,77.38521224904893,11.68,0.02302077484559236,NA
07828,103320,0.36815212470086023,1091.3390273170044,26.78,0.009120594527643284,Gap
07830,180852,0.16411437864209244,283.64405150874495,34.15,0.009411132024737832,NA
07831,NA,0,295.08196721311475,27.78,NA,NA
07832,106424,0.10436960757027558,85.43777048556618,11.69,0.003026634382566586,Gap
07833,NA,0.12857142857142856,227.27272727272728,14.29,0,NA
07834,156902,0.24237149850421535,1583.8215024121296,40.69,0.02900107411385607,Gap
07836,151915,0.2939969214982042,808.0431177446103,31.38,0.01703313719417776,NA
07838,121599,0.07861550845183796,143.90517008378703,13.95,0.01429230059935454,NA
07840,105866,0.2900482790842548,860.0091077120891,22.02,0.01907455322221554,Gap
07842,NA,0,222.22222222222223,17.86,0,NA
07843,108651,0.29482789691836364,2855.1582197067146,19.28,0.01665902491211982,Gap
07844,80221,0.3423423423423423,491.1504424778761,54.05,0.09574468085106383,Non-Gap
07846,99792,0.1333333333333333,548.780487804878,NA,0,NA
07847,85327,0.23761261261261257,732.9756500206356,28.15,0,NA
07848,128317,0.14540756401221522,185.76540408448244,15.97,0.002826189354686764,Gap
07849,117298,0.22279236276849645,1243.139000148346,28.64,0.03110910730387737,Gap
