State,County,ZIP,Average of Latitude,Average of Longitude,EVs on the Road,EVs per 1k People,EVs per Level 2 Port,Current Population
New Jersey,Monmouth County,7764,40.29,-74.01,513,59.75,,"8,586"
New Jersey,Monmouth County,7765,40.35,-74.26,,,,
New Jersey,Monmouth County,7799,40.29,-74.05,1,0,,
New Jersey,Morris County,7801,40.88,-74.55,301,11.1,301,"27,128"
New Jersey,Morris County,7802,40.88,-74.55,2,0,,
New Jersey,Morris County,7803,40.87,-74.6,57,14.08,,"4,048"
New Jersey,Morris County,7806,40.93,-74.54,,,,
New Jersey,Warren County,7820,40.93,-74.81,,,,0
New Jersey,Sussex County,7821,40.98,-74.74,228,23.6,,"9,662"
New Jersey,Sussex County,7822,41.14,-74.71,25,30.23,,827
New Jersey,Warren County,7823,40.82,-75.07,62,8.32,,"7,451"
New Jersey,Warren County,7825,40.98,-74.96,161,17.48,,"9,210"
New Jersey,Sussex County,7826,41.14,-74.74,72,12.07,,"5,967"
New Jersey,Sussex County,7827,41.29,-74.74,48,11.68,,"4,109"
New Jersey,Morris County,7828,40.87,-74.73,414,26.78,69,"15,461"
New Jersey,Warren County,7829,40.82,-75.04,,,,
New Jersey,Hunterdon County,7830,40.72,-74.79,252,34.15,,"7,379"
New Jersey,Warren County,7831,40.74,-74.95,1,27.78,,36
New Jersey,Warren County,7832,40.95,-75.06,42,11.69,,"3,593"
New Jersey,Warren County,7833,40.89,-75.07,1,14.29,,70
New Jersey,Morris County,7834,40.89,-74.48,748,40.69,149.6,"18,385"
New Jersey,Morris County,7836,40.84,-74.7,367,31.38,,"11,694"
New Jersey,Sussex County,7837,40.98,-74.63,1,0,,
New Jersey,Warren County,7838,40.89,-74.91,52,13.95,,"3,727"
New Jersey,Sussex County,7839,40.97,-74.81,1,0,,
New Jersey,Warren County,7840,40.85,-74.82,707,22.02,44.19,"32,105"
New Jersey,Morris County,7842,40.94,-74.5,1,17.86,,56
New Jersey,Sussex County,7843,40.95,-74.65,214,19.28,107,"11,098"
New Jersey,Warren County,7844,40.91,-74.97,6,54.05,,111
New Jersey,Morris County,7845,40.85,-74.57,1,0,,
New Jersey,Warren County,7846,40.97,-74.88,,,,45
New Jersey,Morris County,7847,40.88,-74.62,50,28.15,,"1,776"
New Jersey,Sussex County,7848,41.09,-74.68,68,15.97,34,"4,257"
New Jersey,Morris County,7849,40.96,-74.61,240,28.64,60,"8,380"
New Jersey,Morris County,7850,40.9,-74.66,124,18.16,31,"6,828"
New Jersey,Sussex County,7851,41.2,-74.86,2,7.6,,263
New Jersey,Morris County,7852,40.88,-74.66,135,31.89,,"4,233"
New Jersey,Morris County,7853,40.78,-74.76,399,32.34,,"12,339"
New Jersey,Sussex County,7855,41.06,-74.89,1,0,,
New Jersey,Morris County,7856,40.91,-74.64,111,23.25,55.5,"4,774"
New Jersey,Morris County,7857,40.9,-74.7,52,13.95,26,"3,728"
New Jersey,Sussex County,7860,41.05,-74.75,412,15.82,17.91,"26,047"
New Jersey,Warren County,7863,40.81,-74.99,40,10.47,,"3,819"
New Jersey,Warren County,7865,40.79,-74.91,69,24.42,,"2,825"
New Jersey,Morris County,7866,40.95,-74.49,667,29.43,133.4,"22,663"
New Jersey,Morris County,7869,40.84,-74.58,"1,078",41.43,179.67,"26,022"
New Jersey,Morris County,7870,40.8,-74.82,1,29.41,,34
New Jersey,Sussex County,7871,41.04,-74.62,774,36.11,193.5,"21,437"
New Jersey,Sussex County,7874,40.91,-74.7,144,16.45,144,"8,752"
New Jersey,Sussex County,7875,41.05,-74.86,3,0,,
New Jersey,Morris County,7876,40.85,-74.65,194,20.12,,"9,641"
New Jersey,Sussex County,7877,41.09,-74.84,1,0,,
New Jersey,Morris County,7878,40.87,-74.48,29,37.86,,766
New Jersey,Sussex County,7879,40.95,-74.8,2,0,,
New Jersey,Warren County,7880,40.88,-74.88,2,11.56,,173
New Jersey,Sussex County,7881,41.12,-74.93,,,,4
New Jersey,Warren County,7882,40.75,-74.98,245,16.21,122.5,"15,115"
New Jersey,Morris County,7885,40.89,-74.58,289,24.48,72.25,"11,806"
New Jersey,Sussex County,7890,41.14,-74.74,,,,
New Jersey,Union County,7901,40.71,-74.36,"1,334",54.87,58,"24,314"
New Jersey,Union County,7902,40.71,-74.36,4,0,,
New Jersey,Somerset County,7920,40.67,-74.56,"1,943",67.58,55.51,"28,753"
New Jersey,Somerset County,7921,40.65,-74.67,277,35.97,27.7,"7,700"
New Jersey,Union County,7922,40.67,-74.42,716,58.71,37.68,"12,195"
New Jersey,Somerset County,7924,40.73,-74.59,407,52.77,203.5,"7,713"
New Jersey,Morris County,7926,40.8,-74.57,23,142.86,,161
New Jersey,Morris County,7927,40.82,-74.45,151,30.93,37.75,"4,882"
New Jersey,Morris County,7928,40.74,-74.38,"1,201",60.13,600.5,"19,974"
New Jersey,Morris County,7930,40.78,-74.69,443,51.23,,"8,648"
New Jersey,Somerset County,7931,40.69,-74.62,240,80.4,,"2,985"
New Jersey,Morris County,7932,40.77,-74.39,596,49.76,31.37,"11,977"
New Jersey,Morris County,7933,40.7,-74.47,140,46.74,,"2,995"
New Jersey,Somerset County,7934,40.72,-74.67,73,56.46,,"1,293"
New Jersey,Morris County,7935,40.74,-74.45,34,58.22,,584
New Jersey,Morris County,7936,40.81,-74.36,613,54.97,102.17,"11,152"
New Jersey,Somerset County,7938,40.68,-74.56,4,0,,
New Jersey,Somerset County,7939,40.67,-74.55,1,3.11,,322
New Jersey,Morris County,7940,40.75,-74.41,748,42.48,17.4,"17,610"
New Jersey,Morris County,7945,40.76,-74.59,555,57.28,,"9,690"
New Jersey,Morris County,7946,40.66,-74.51,140,46.95,,"2,982"
New Jersey,Morris County,7950,40.83,-74.48,997,46.05,47.48,"21,651"
New Jersey,Morris County,7960,40.79,-74.47,"1,918",41.07,54.8,"46,702"
New Jersey,Morris County,7961,40.78,-74.44,3,9.01,,333
New Jersey,Morris County,7962,40.79,-74.47,13,0,,
New Jersey,Morris County,7963,40.79,-74.47,1,0,,
New Jersey,Morris County,7970,40.81,-74.57,2,9.3,,215
New Jersey,Union County,7974,40.7,-74.4,618,46.3,19.31,"13,349"
