ZIP,Total Population,ALAND_SQMI,popdensity
07876,9641,5.74,1679.6167247386759
07878,766,0.091,8417.582417582418
07880,173,1.1,157.27272727272725
07881,4,9.248,0.43252595155709345
07882,15115,31.565,478.853160145731
07885,11806,14.686,803.8948658586409
07901,24314,6.333,3839.2546976156636
07920,28753,27.172,1058.1848962166937
07921,7700,18.383,418.8652559429908
07922,12195,5.581,2185.092277369647
07924,7713,11.97,644.3609022556391
07926,161,0.354,454.8022598870057
07927,4882,2.143,2278.114792347177
07928,19974,9.256,2157.951598962835
07930,8648,25.441,339.92374513580444
07931,2985,21.952,135.97849854227405
07932,11977,6.739,1777.266656774002
07933,2995,5.297,565.4143855012271
07934,1293,3.106,416.29104958145524
07935,584,2.609,223.84055193560752
07936,11152,7.875,1416.126984126984
07939,322,0.135,2385.185185185185
07940,17610,4.913,3584.368003256666
07945,9690,19.481,497.4077306093116
07946,2982,4.076,731.5996074582926
07950,21651,9.112,2376.0974539069357
07960,46702,34.616,1349.1449040905939
07961,333,0.17,1958.8235294117646
07970,215,0.265,811.3207547169811
07974,13349,3.969,3363.31569664903
07976,389,3.467,112.20074992789155
07977,917,1.973,464.77445514445003
07979,214,0.886,241.53498871331828
07980,2675,2.366,1130.6001690617074
07981,9030,6.028,1498.009289980093
08001,854,3.323,256.99668973818837
08002,24015,7.209,3331.2526009155226
08003,31809,10.99,2894.3585077343037
08004,11429,25.758,443.70680953490177
08005,26866,53.531,501.87741682389645
08006,500,0.831,601.684717208183
08007,5417,1.344,4030.5059523809523
08008,6837,10.809,632.5284485151263
08009,14346,16.536,867.5616835994193
08010,11861,3.629,3268.3934968310828
08011,56,0.233,240.34334763948496
08012,41812,15.002,2787.095053992801
08014,298,3.616,82.41150442477876
08015,19567,56.237,347.9381901595035
08016,34920,21.628,1614.5737007582763
08019,907,112.49,8.062938927904703
08020,2480,4.552,544.8154657293497
08021,49305,12.965,3802.930967990744
08022,9172,21.251,431.60321867206244
08023,375,0.845,443.7869822485207
08026,2435,2.152,1131.5055762081784
08027,4984,7.487,665.6871911312942
08028,25098,14.503,1730.5385092739434
08029,5459,1.075,5078.139534883721
08030,13217,2.799,4722.043586995355
08031,11737,2.984,3933.3109919571048
08032,242,0.205,1180.4878048780488
08033,17763,3.942,4506.088280060882
08034,20901,5.908,3537.7454299255246
08035,7551,1.576,4791.243654822335
08036,6065,6.439,941.916446653207
08037,23514,122.479,191.98393193935286
08038,351,17.421,20.148097124160497
08039,38,0.54,70.37037037037037
08041,650,11.415,56.94261936049059
08042,131,0.855,153.21637426900585
08043,31191,11.471,2719.11777525935
08045,3200,1.395,2293.9068100358422
08046,31981,7.598,4209.133982627007
08048,12882,12.127,1062.257771913911
08049,5282,1.226,4308.319738988581
08050,28053,30.899,907.8934593352535
08051,12474,3.847,3242.5266441382896
08052,20127,3.83,5255.0913838120105
08053,48179,29.156,1652.4557552476335
08054,46026,21.725,2118.573072497123
08055,29109,39.973,728.2165461686639
08056,5434,9.103,596.9460617378886
08057,21529,15.301,1407.0322201163322
08059,5805,1.229,4723.352318958502
08060,25835,21.65,1193.3025404157045
08061,4508,1.326,3399.6983408748115
08062,17935,32.18,557.3337476693598
08063,3051,1.03,2962.135922330097
08064,17,2.68,6.343283582089552
08065,7485,1.849,4048.1341265548945
08066,7760,6.852,1132.5160537069469
08067,1711,19.053,89.8021308980213
08068,6613,23.301,283.8075619072143
08069,13413,15.937,841.6264039656146
08070,12511,20.698,604.4545366702097
08071,9461,3.315,2853.9969834087483
08072,164,0.355,461.9718309859155
08073,20,0.087,229.8850574712644
08074,160,0.556,287.76978417266184
08075,30615,9.878,3099.311601538773
08077,20613,8.104,2543.558736426456
08078,8051,1.923,4186.6874674987
08079,10762,88.683,121.35358524181635
08080,38159,29.237,1305.1612682559771
08081,50264,25.245,1991.0477322242027
08083,9606,2.507,3831.671320303151
08084,7018,1.57,4470.0636942675155
08085,22340,44.5,502.02247191011236
08086,9001,7.005,1284.939329050678
08087,25342,70.061,361.7133640684546
08088,24215,150.514,160.88204419522435
08089,4231,16.135,262.22497675859927
08090,9815,2.922,3359.0006844626964
08091,5963,3.33,1790.6906906906906
08092,3119,22.904,136.177086971708
08093,9438,4.047,2332.0978502594517
08094,41595,54.771,759.4347373610123
08095,0,1.406,0
08096,35336,13.89,2543.9884809215264
08097,3062,1.316,2326.7477203647413
08098,9680,57.853,167.32062295818713
08102,8292,0.995,8333.668341708542
08103,12573,2.139,5877.980364656382
08104,22148,2.997,7390.056723390057
08105,26483,2.594,10209.329221279877
08106,9731,1.627,5980.946527350952
08107,13574,1.791,7579.006141820212
08108,18654,2.692,6929.420505200594
08109,24022,4.822,4981.750311074243
08110,19158,6.469,2961.508733961972
08201,10412,5.774,1803.2559750606165
08202,1612,6.906,233.42021430640025
08203,7674,6.573,1167.5034230944773
08204,16573,20.459,810.0591426755951
08205,28877,42.089,686.0937537123714
08210,17143,68.547,250.0911783156083
08212,138,0.295,467.79661016949154
08215,13545,124.079,109.16432272987372
08217,44,0.023,1913.0434782608695
08221,6992,4.701,1487.3431184854287
08223,4048,12.954,312.490350470897
08224,223,1.448,154.00552486187846
08225,8456,6.052,1397.224058162591
08226,11261,6.758,1666.3213968629773
08230,5700,19.523,291.96332530861037
08232,19887,5.866,3390.214797136038
08234,47339,60.675,780.2060156571899
08240,2648,2.198,1204.7315741583259
08241,1076,7.462,144.19726614848565
08242,4141,4.76,869.9579831932773
08243,2000,2.199,909.5043201455208
08244,10659,4.923,2165.1432053625836
08245,23,0.048,479.16666666666663
08246,57,0.324,175.92592592592592
08247,965,5.228,184.58301453710789
08248,266,0.526,505.7034220532319
08251,10503,7.033,1493.3883122422862
08260,12959,15.944,812.7822378324134
08270,8362,102.946,81.22705107532104
08302,47279,142.622,331.4986467725876
08310,968,12.233,79.13022153192185
08311,1746,27.91,62.55822285919025
08312,8556,5.508,1553.3769063180828
08314,454,12.194,37.23142529112678
08316,137,8.275,16.555891238670693
08317,1246,7.359,169.3164832178285
08318,11961,80.417,148.73720730691272
08319,1205,15.048,80.07708665603403
08320,1021,0.422,2419.4312796208533
08321,133,8.843,15.040144747257719
08322,10202,29.109,350.4757978632038
08323,731,17.772,41.13211793832996
08324,210,9.195,22.838499184339312
08326,1435,3.184,450.69095477386935
08327,3408,9.584,355.59265442404006
08328,1476,1.904,775.2100840336135
08329,159,0.495,321.2121212121212
08330,29972,127.381,235.2941176470588
08332,35228,104.514,337.06489082802307
08340,725,27.799,26.080074822835353
08341,2101,1.003,2094.7158524426723
08343,4729,32.255,146.61292822818166
08344,5564,23.761,234.16522873616432
